Gene_A	Gene_B	Weight
O60762	O00522	1.2E-2
Q6P499	Q9Y6D9	5.3E-3
P19801	Q9Y6D9	6E-3
P09769	Q92851	1.5E-2
P14209	P10646	4.5E-3
P13569	Q9Y216	2E-2
P14209	Q9Y4D7	3.4E-3
P10646	Q9Y4D7	5.6E-3
O60762	P54819	1.4E-2
Q9Y4W2	P78332	7.4E-3
P52756	P78332	1.8E-2
O60762	P46063	1.3E-2
P19801	P30988	1.9E-2
P46063	O75563	1.2E-2
P84085	P52435	1.6E-2
P05164	P16383	7.6E-3
P31323	Q9UKG9	1.7E-2
Q53FZ2	P21439	1.4E-2
O95153	Q15119	1.9E-2
P30988	P26006	1.1E-2
O60762	P17010	1.3E-2
P05141	P17010	1.2E-2
P08603	P13473	9.9E-3
O75563	P13473	1E-2
Q9Y6D9	Q9Y574	8.1E-3
P28907	O75462	1.9E-2
Q9Y6D9	O76009	3.5E-3
P08514	Q99558	1.5E-2
Q9Y6D9	Q09428	8.3E-3
O75800	O43497	7.1E-3
P20366	P80192	1.8E-2
P52435	P11233	2E-2
P31323	P11233	1.4E-2
Q6SZW1	O94887	1.3E-2
Q05084	O75223	1.3E-2
P49916	O75223	1.8E-2
Q92851	P21731	1.9E-2
Q9Y4D7	P21731	8.1E-3
O00522	O00458	1.8E-2
P31323	O00458	1.4E-2
P11233	O00458	1.8E-2
Q12887	Q9BQ52	2E-2
Q96IC2	Q86V24	1.4E-2
Q9Y6D9	Q13183	4.2E-3
Q14847	O60861	1.4E-2
O43490	O60861	8E-3
Q9Y4W2	O75865	1.1E-2
P20701	P40259	9.3E-3
P02730	P35499	1.1E-2
O14559	P26367	1.6E-2
P26006	O94812	1.5E-2
P84085	Q9UJK0	1.6E-2
P84085	Q9BRB3	1.4E-2
Q9UJK0	Q9BRB3	2E-2
P14209	Q99594	5.9E-3
Q9Y4D7	Q99594	7.1E-3
P50221	P16581	1.5E-2
Q6SZW1	Q9NVH1	1.2E-2
O60341	Q9NVH1	1E-2
P78423	P31513	1.8E-2
O14561	P20618	1.4E-2
Q9Y6D9	P17600	4.3E-3
Q9GZN4	P17600	1.5E-2
O60341	Q92833	8E-3
Q92793	Q92833	9.8E-3
Q9NYC9	Q96NX5	1.8E-2
Q14847	O95544	1.7E-2
Q6P499	Q9Y238	5.4E-3
P19801	Q9Y238	6.4E-3
P35499	Q9Y238	4.2E-3
Q9Y5S8	Q9Y238	5.9E-3
Q8N3S3	O43739	1.8E-2
Q96NX5	Q9P0K1	1.6E-2
P08603	Q16563	6.9E-3
O15519	Q16563	1E-2
P54819	Q16563	9.6E-3
O75563	Q16563	6.9E-3
P13473	Q16563	7.8E-3
P42679	Q9NYQ7	2.4E-2
P05164	Q11201	1.4E-2
Q14847	P24001	1.6E-2
P02730	Q13387	8.2E-3
Q76N89	O75448	1.5E-2
Q9NVH1	O75448	1.6E-2
P80192	Q9BYZ6	1.8E-2
O00458	O60673	1.1E-2
Q9UPZ6	Q9UKZ4	1.6E-2
P19801	P23759	5.6E-3
Q09428	P23759	6.8E-3
Q9NYC9	P23759	6.5E-3
Q13183	P23759	3.8E-3
Q9Y5S8	P23759	5.1E-3
Q96NX5	P23759	4.3E-3
Q9Y238	P23759	2.1E-3
Q14938	P23759	8.1E-3
Q9Y6N9	Q8TAV0	1.8E-2
P20701	Q9Y228	1.2E-2
P40259	Q9Y228	1.4E-2
O60341	Q9UIG0	8.8E-3
P52435	Q9UIG0	1.7E-2
Q9UBU7	O43670	1.6E-2
O94887	P21926	1.3E-2
Q92481	P21926	1.1E-2
P49447	P21926	1.4E-2
Q05084	Q15021	1.2E-2
Q02790	Q15021	1.1E-2
P49916	Q15021	1.4E-2
O75223	Q15021	1.1E-2
P21439	P48546	1.3E-2
P52756	Q9Y2I1	1.9E-2
O75448	Q9Y2I1	1.7E-2
P52756	Q9NSD5	1.5E-2
Q13183	P22304	1.3E-2
P26006	P35030	1.1E-2
Q9UBU7	P98182	1.2E-2
Q13183	P01730	1.5E-2
Q9NY47	Q53EV4	2.1E-2
Q92481	Q53EV4	1.1E-2
P54819	Q06187	1.4E-2
P08603	Q01740	1.2E-2
P16581	Q01740	1.5E-2
O75800	Q14241	8.1E-3
O00458	Q14241	2E-2
O94887	P51797	5.3E-3
P49754	P51797	6.2E-3
P43034	P51797	7.7E-3
O94812	P51797	7.8E-3
Q13387	P51797	4E-3
P78423	Q9UBG0	1.2E-2
P02730	O75954	1.4E-2
P35499	O75954	1E-2
P05164	Q8WTS1	1.2E-2
Q9NSD5	Q8WTS1	1.5E-2
P78423	P23352	1.9E-2
P50549	P23352	1.8E-2
Q86V24	Q9ULX6	1.2E-2
Q9NYC9	Q9NWF9	2.6E-2
P80192	Q92782	1.8E-2
Q9BYZ6	Q92782	1.8E-2
Q9Y4W2	Q15031	7.7E-3
O75865	Q15031	2E-2
O60762	O00443	1.3E-2
O00522	O00443	1.6E-2
O14628	O00443	1.2E-2
P17010	O00443	1.7E-2
Q15119	O95785	1.5E-2
P98182	Q96B96	2E-2
P52569	P34903	1.2E-2
Q09428	P34903	1.5E-2
P26367	P34903	7.8E-3
Q96NX5	P34903	9.7E-3
P23759	P34903	3.2E-3
O75223	P38398	1.7E-2
Q15021	P38398	1.5E-2
P31930	P07992	1.1E-2
P28907	P20273	1.8E-2
P40259	P20273	1.7E-2
Q9Y228	P20273	1.7E-2
Q8N3S3	O43462	1.8E-2
Q9Y6D9	O43900	3.8E-3
O76009	O43900	6.2E-3
Q92851	P02788	1.9E-2
O14561	Q9NYP7	1.1E-2
Q06187	P09917	1.7E-2
O43914	P09917	1.2E-2
O95153	Q9BY66	1.9E-2
O75592	Q9BY66	1.2E-2
Q9Y2I1	Q9BY66	1.5E-2
P23352	Q9BY66	2.6E-2
Q92481	Q9P1Z2	1.5E-2
Q9Y2I1	Q9P1Z2	1.5E-2
O43462	Q9Y4K4	1.9E-2
P26006	Q9Y2E5	1E-2
P51797	Q9Y2E5	5.5E-3
Q0D2I5	Q14764	1.1E-2
O00458	P49759	1.3E-2
O60673	P49759	8.8E-3
Q9Y4K4	P49759	1.2E-2
P78332	Q9UNK9	1E-2
Q9NSD5	Q9UNK9	1E-2
P49754	Q9UBS8	1E-2
P51797	Q9UBS8	4.3E-3
Q9NY15	P49184	1.3E-2
Q14764	P49184	1.3E-2
P16581	Q8NFJ5	2E-2
P78423	Q13495	1.6E-2
P51797	Q13495	5.5E-3
Q9Y6D9	P30203	8.2E-3
Q9P2D0	O94874	2.1E-2
Q16563	O94874	7.1E-3
P98182	Q14181	1.4E-2
Q96FC9	Q14181	1.7E-2
Q9ULX6	Q8IXZ2	1.3E-2
Q92934	P07384	1.3E-2
P20366	P07384	1.3E-2
Q9UJK0	P07384	1.6E-2
O43490	P15309	8.3E-3
O60861	P15309	8.4E-3
O60762	P40925	1E-2
O14561	P40925	1E-2
Q9NYP7	P40925	1.6E-2
Q05084	Q6PML9	1.4E-2
Q8N7H5	Q6PML9	9.8E-3
P30988	A4FU01	1.8E-2
Q96NX5	A4FU01	1.5E-2
P23759	A4FU01	5E-3
P22304	A4FU01	2.3E-2
Q9Y6X5	Q9P219	7.8E-3
P05164	Q9P219	5.3E-3
O60673	Q15326	1.4E-2
P23759	P42768	6.5E-3
P16383	P16444	1.2E-2
Q9P219	P16444	8.4E-3
O43657	Q8IVD9	1.4E-2
Q16654	A8K7I4	1.7E-2
O76009	A8K7I4	1.1E-2
O43900	A8K7I4	9.7E-3
P10646	Q68CQ7	9.9E-3
P43034	Q7L099	2.6E-2
O76009	Q12860	8.1E-3
Q8IY57	Q12860	2.3E-2
P09769	P49279	1.4E-2
Q03405	P49279	2.3E-2
P08603	Q9GZV5	5.8E-3
P10646	Q9GZV5	5.2E-3
Q01740	Q9GZV5	7.1E-3
Q8N3S3	O00116	1.1E-2
O43739	O00116	8E-3
Q96S59	O00116	1.1E-2
O43462	O00116	1E-2
Q9Y4K4	O00116	8.8E-3
O95394	O00116	1.1E-2
Q8IY57	O00116	1.3E-2
Q12860	O00116	1.1E-2
P20366	P50993	1E-2
O43490	P50993	8.7E-3
P46063	Q9UEW3	1.4E-2
O96018	Q9UEW3	1.4E-2
P27169	Q07973	1.3E-2
Q8WTS1	Q07973	1.3E-2
P14209	O43623	4.9E-3
P20701	P04233	8.2E-3
Q06187	P04233	1E-2
Q9Y4W2	P51948	9.6E-3
P16581	Q9UPU9	1.5E-2
P20701	Q13761	8.8E-3
P40259	Q13761	9.9E-3
P24001	Q13761	1.3E-2
Q9Y228	Q13761	1.2E-2
Q06187	Q13761	1.1E-2
Q9Y6D9	Q9UF11	8.8E-3
P23759	Q9UF11	7.8E-3
P34903	Q9UF11	1.6E-2
O43914	P30740	6.5E-3
P09917	P30740	1.4E-2
Q14764	P30740	7.2E-3
Q92900	O60306	1.3E-2
O75800	P07358	4E-3
O43497	P07358	9.4E-3
O96018	P07358	9.1E-3
Q8IXZ2	P07358	9.9E-3
Q9UEW3	P07358	7.5E-3
Q9P1Z2	Q8N5U6	2E-2
O75800	Q3KR37	7.1E-3
Q12887	Q3KR37	2.4E-2
Q13387	Q3KR37	1.1E-2
Q14764	P13489	8.8E-3
Q9P2D0	Q8TDY2	1.5E-2
O60673	Q8TDY2	8.8E-3
O00443	Q8TDY2	1.2E-2
Q92481	Q9BS26	1.2E-2
Q9Y3P9	Q9BS26	1.7E-2
P20701	Q13489	8.1E-3
P40259	Q13489	1E-2
Q9Y228	Q13489	1.3E-2
Q13761	Q13489	9.8E-3
P31323	Q9UKA4	8.1E-3
Q9UKG9	Q9UKA4	9.8E-3
O75592	Q9UKA4	9.9E-3
P51797	Q9UKA4	3.8E-3
Q7L099	Q9UKA4	1.1E-2
O60762	Q16533	1.1E-2
O14628	Q16533	1E-2
O00443	Q16533	1.3E-2
P51948	Q16533	1.8E-2
O14561	Q9Y3F4	1.2E-2
P40925	Q9Y3F4	1.9E-2
P98194	Q9Y3F4	1.8E-2
Q9P2D0	Q8IWV8	1.3E-2
O60673	Q8IWV8	9.6E-3
Q9UIY3	Q8IWV8	1.3E-2
Q8TDY2	Q8IWV8	9.8E-3
Q9UKA4	Q8IWV8	8E-3
P48506	Q8IWP9	1.2E-2
Q9Y2E5	Q8IWP9	1E-2
O94874	Q8IWP9	1.2E-2
Q92833	Q03933	1.2E-2
P61371	Q03933	1.5E-2
P24001	Q13133	1.9E-2
O43914	Q13133	1.1E-2
O43914	P19971	8.3E-3
Q13133	P19971	1.8E-2
O60359	Q6IBW4	1.2E-2
O75594	Q6IBW4	9.1E-3
P23759	Q6IBW4	3.1E-3
P40925	Q15785	1.8E-2
Q99442	Q9UGP8	1E-2
O95394	Q9UGP8	1.4E-2
P49759	Q9UGP8	7.2E-3
O94874	Q9UGP8	9.8E-3
P14209	P08670	7.8E-3
P10646	P08670	1.4E-2
Q9Y4D7	P08670	9.6E-3
Q16563	P08670	1.1E-2
Q9GZV5	P08670	9.6E-3
P16581	P25445	1.8E-2
Q30201	P25445	2.2E-2
P30740	P25445	1.3E-2
Q9UKG9	P16070	1.9E-2
Q12860	P16070	2.6E-2
Q92481	Q9UIX4	1.4E-2
P14209	P24723	5.7E-3
Q92851	P24723	1.6E-2
P10646	P24723	9.6E-3
Q9NY15	P24723	1.1E-2
O15519	P15260	1.5E-2
P46063	P15260	1.2E-2
Q16563	P15260	6.9E-3
O94874	P15260	1.2E-2
Q09428	Q9NP31	1.2E-2
P17600	Q9NP31	6.1E-3
Q14938	Q9NP31	1.3E-2
P23759	Q9NP31	2.7E-3
P34903	Q9NP31	5.5E-3
Q9UF11	Q9NP31	1.2E-2
P46063	Q86Y07	1.6E-2
Q9UEW3	Q86Y07	1.2E-2
P30740	Q86Y07	8.9E-3
P15260	Q86Y07	1.1E-2
Q14847	P20333	8.4E-3
O15519	P20333	1.2E-2
O75563	P20333	7.4E-3
O95544	P20333	7.3E-3
Q30201	P20333	1E-2
P09917	P20333	1.1E-2
P30740	P20333	7E-3
P19971	P20333	8.9E-3
P15260	P20333	7.6E-3
Q92833	P09086	1.3E-2
Q9UJS0	P62380	2E-2
Q12887	P62380	1.8E-2
Q03933	P62380	1.1E-2
Q9P2D0	Q9NYF8	9E-3
P61371	Q9NYF8	1E-2
Q03933	Q9NYF8	7.8E-3
Q07973	P16157	1.2E-2
Q9Y216	P21815	1E-2
Q6ZMT4	P21815	1.2E-2
Q9Y6N9	P21815	7.7E-3
Q8TAV0	P21815	1.1E-2
P11233	Q15276	1.3E-2
Q8N3S3	Q15276	1.4E-2
O00458	Q15276	1.2E-2
O43739	Q15276	1.2E-2
O60673	Q15276	7.8E-3
O00116	Q15276	6.6E-3
P05141	O15347	8.4E-3
O14628	O15347	6E-3
Q9UBU7	O15347	6.8E-3
P98182	O15347	7.3E-3
Q99884	O15347	8.2E-3
Q96FC9	O15347	8.5E-3
Q16533	O15347	6.5E-3
O60762	Q12769	9.2E-3
O14628	Q12769	1.2E-2
O00443	Q12769	1.2E-2
O15347	Q12769	7.1E-3
P21815	Q16611	1E-2
P23759	O15146	7.2E-3
P34903	O15146	1.5E-2
O43914	P28799	8.4E-3
P09917	P28799	1.7E-2
P30740	P28799	9.7E-3
Q8N5U6	P28799	1.4E-2
Q13133	P28799	1.9E-2
P19971	P28799	1.3E-2
P20333	P28799	7.8E-3
P28331	P49591	1.4E-2
O75800	Q9H6Z4	7.2E-3
Q92900	Q9H6Z4	1.5E-2
Q92793	Q9H6Z4	1.2E-2
Q8N7H5	Q9H6Z4	1.1E-2
Q9ULX6	Q9H6Z4	1.1E-2
Q8IXZ2	Q9H6Z4	1.6E-2
O00116	P29374	1E-2
Q15276	P29374	1.5E-2
P07992	Q8IY17	1E-2
P13489	Q8IY17	1.5E-2
O75592	Q13099	1.4E-2
Q9UKA4	Q13099	1.3E-2
P52435	ENSG00000033050	2.2E-2
P17010	Q9BYC5	1.9E-2
P13473	Q9BYC5	1.3E-2
Q16526	Q9BYC5	2.4E-2
Q16533	Q9BYC5	1.8E-2
Q92481	Q9UQC2	8.4E-3
O94812	Q93050	9.2E-3
P51797	Q93050	3.5E-3
P49591	Q93050	8.1E-3
Q9Y238	O75925	6E-3
P78332	Q9Y6M7	1E-2
O95153	Q99767	9.7E-3
O75592	Q99767	7.9E-3
Q9NVH1	Q99767	8.1E-3
Q92833	Q99767	7.3E-3
O75448	Q99767	1E-2
Q9Y2I1	Q99767	9.6E-3
P20333	P46734	8.6E-3
O94874	P56589	1.4E-2
P07358	P56589	7.4E-3
Q9UGP8	P56589	1E-2
Q9NZC3	P60520	1.8E-2
P41247	P60520	1.9E-2
Q76N32	Q96HL8	1.9E-2
Q8TDY2	Q96HL8	1.2E-2
P14209	P18206	6.4E-3
Q9Y4D7	P18206	8.3E-3
Q9GZV5	P18206	7.5E-3
Q9UPU9	P18206	2E-2
O60359	Q9UIK4	1.1E-2
P35228	Q9UIK4	1.2E-2
Q9NWF9	Q9UIK4	1.6E-2
O00443	Q92636	1.5E-2
Q96HL8	Q92636	1.7E-2
P43351	P30520	2E-2
Q9Y4K4	P30520	1.9E-2
O00116	P30520	8.7E-3
Q8TDY2	P30520	1.2E-2
Q9Y6D9	P16035	5.9E-3
P51689	P16035	2.8E-2
P49591	P16035	1.9E-2
P23511	P35251	1.6E-2
Q9P2D0	P35251	1.4E-2
Q6PML9	P35251	1.8E-2
O60306	P35251	1.2E-2
Q9NYF8	P35251	8.3E-3
Q92833	Q13618	1E-2
O75954	P54296	1.6E-2
Q9UQC2	P54219	1.1E-2
P19801	O75604	1.2E-2
O76009	O75604	6.4E-3
A4FU01	O75604	1.3E-2
O15146	O75604	1.8E-2
Q13183	P35916	1E-2
P23759	P35916	4.4E-3
O15146	P35916	1.8E-2
Q99972	P35916	1.3E-2
O43739	P55082	1.8E-2
O43462	P55082	1.9E-2
O00116	P55082	1.1E-2
Q15276	P55082	1.4E-2
Q9P219	Q9UBP6	9E-3
Q16563	P20933	8.5E-3
Q8IWP9	P20933	1.3E-2
P21439	O43897	1.2E-2
Q92887	O43897	2.3E-2
P21815	O43897	1.1E-2
Q6FI81	Q6P2E9	1.6E-2
Q76N89	O75962	1.3E-2
Q9NY47	O75962	1.6E-2
Q9UQC2	O75962	1E-2
Q68CQ7	P13611	1.4E-2
O43623	P13611	1.1E-2
Q92636	P13611	1.2E-2
Q92793	Q2KHT3	1.2E-2
O75592	Q2KHT3	1.1E-2
Q9NVH1	Q2KHT3	1.1E-2
Q92833	Q2KHT3	1.1E-2
P61371	Q2KHT3	1.5E-2
Q6P2E9	Q2KHT3	1.2E-2
P08603	P21757	1.4E-2
P13473	P21757	1.6E-2
O43914	P21757	1.1E-2
O60359	P12830	2.3E-2
Q13183	P12830	1.4E-2
P49959	P42285	1.9E-2
Q9NYF8	P42285	9.9E-3
O75592	Q7Z3T8	1.5E-2
P49759	Q7Z3T8	1.2E-2
Q13099	Q7Z3T8	1.9E-2
Q9P0K1	P13671	1.4E-2
Q9UIK4	P13671	1.1E-2
P46063	Q9P0K7	1.3E-2
Q99594	Q9P0K7	1.4E-2
Q9UEW3	Q9P0K7	1.1E-2
P14210	Q9P0K7	1.2E-2
Q96IC2	O94993	1.6E-2
Q9UKA4	Q6ZVD8	1.2E-2
P60520	Q6ZVD8	1.9E-2
P23511	Q9NUL3	2E-2
P98194	Q9NUL3	2.3E-2
O15347	Q9NUL3	9.8E-3
Q14667	O60931	2E-2
Q13133	O60931	2.4E-2
P19971	O60931	1.5E-2
P28799	O60931	1.4E-2
Q15276	O00194	1.3E-2
P49591	O00194	1.6E-2
P29374	O00194	2.7E-2
O43490	Q9Y6X6	1.2E-2
P50993	Q9Y6X6	1.3E-2
P21439	P24821	1.4E-2
P21815	P24821	1.2E-2
Q9NR20	P40121	1.3E-2
Q0D2I5	P40121	1.6E-2
O43914	P40121	9.5E-3
Q13133	P40121	2.2E-2
P19971	P40121	1.4E-2
P28799	P40121	1.6E-2
O60931	P40121	1.7E-2
O95372	P53680	1.2E-2
P07992	P53680	1.1E-2
P13489	P53680	1.3E-2
Q8IY17	P53680	1.4E-2
O75604	O75445	1.3E-2
O14558	Q9BS86	1.8E-2
O75445	Q9BS86	1.6E-2
Q92934	P01266	1.9E-2
P43686	P01266	1.1E-2
P08603	Q9UKQ2	1.3E-2
Q16563	Q9UKQ2	1E-2
Q06187	Q9UKQ2	1.7E-2
P04233	Q9UKQ2	1.3E-2
Q14002	Q9UMQ3	1.7E-2
P09086	Q9UMQ3	1.3E-2
P26006	Q9NQC1	1.3E-2
O94812	Q9NQC1	2.1E-2
P51797	Q9NQC1	6.3E-3
Q8IWP9	Q9NQC1	1.2E-2
Q9Y238	O95409	8E-3
P23759	O95409	6.8E-3
O15519	Q13094	1.6E-2
P30740	Q13094	9.5E-3
P19971	Q13094	1.2E-2
P15260	Q13094	9.9E-3
Q86Y07	Q13094	1.2E-2
P20333	Q13094	8.5E-3
Q92887	P08588	2.3E-2
O00481	P08588	2.5E-2
P08514	Q16661	1.3E-2
P14867	Q16661	9.8E-3
Q9P219	Q14999	8.5E-3
P21926	P35221	1.7E-2
Q8IWV8	P35221	1.4E-2
Q9UGP8	P35221	1.1E-2
Q9UQC2	P35221	1.1E-2
Q9Y4W2	P46019	7.6E-3
P78332	P46019	1.2E-2
O75865	P46019	1.7E-2
Q9NPA2	P46019	1.2E-2
Q9NSD5	P46019	1E-2
Q9UNK9	P46019	9.2E-3
Q9UMQ3	P46019	1.1E-2
P26367	P29320	1.4E-2
P14209	P11021	5.8E-3
Q9NR20	P11021	1.7E-2
Q9Y4W2	O75665	1.1E-2
Q12769	O75665	1.5E-2
O60861	Q13491	1.5E-2
Q01740	Q13491	1.5E-2
Q9UPU9	Q13491	1.5E-2
P31323	Q9Y2I8	1E-2
P51797	Q9Y2I8	5E-3
Q9UBS8	Q9Y2I8	7.5E-3
Q15326	Q9Y2I8	1.6E-2
Q9UKA4	Q9Y2I8	8.8E-3
O00522	Q9H6S0	1.2E-2
O00443	Q9H6S0	1.1E-2
Q9Y4K4	Q9H6S0	1.2E-2
P49759	Q9H6S0	9.4E-3
Q8TDY2	Q9H6S0	9.7E-3
P56589	Q9H6S0	1.1E-2
Q96HL8	Q9H6S0	1.1E-2
Q7Z3T8	Q9H6S0	1.1E-2
P49754	Q9UI12	2E-2
P51797	Q9UI12	6.5E-3
P55957	P30876	1.2E-2
ENSG00000033050	P30876	1.2E-2
P35251	P30876	9.3E-3
P16581	Q8WZ64	1.3E-2
P31513	Q8WZ64	1.6E-2
A4FU01	Q8WZ64	1.8E-2
Q9Y4K4	P12270	1.6E-2
P49959	P12270	1.6E-2
P30876	P12270	8.5E-3
P23759	P00450	4E-3
Q99972	P00450	1.5E-2
Q9UIK4	P00450	1.1E-2
Q9Y238	O60303	7.3E-3
P84085	P51811	1.5E-2
P41247	P51811	2.5E-2
P16070	P51811	1.9E-2
P00450	O43182	1.4E-2
P14209	P27816	6.7E-3
O60861	P27816	1.5E-2
Q9UPU9	P27816	2.2E-2
P18206	P27816	2E-2
P13569	P08922	8.6E-3
Q9Y574	P08922	1.1E-2
Q96NX5	P08922	7.6E-3
P23759	P08922	2.9E-3
P22304	P08922	9.9E-3
Q9UBG0	P08922	7.1E-3
P34903	P08922	5.8E-3
A4FU01	P08922	9.7E-3
P13196	P08922	1E-2
O15146	P08922	1.2E-2
O75604	P08922	6.6E-3
O75445	P08922	9E-3
P00450	P08922	7.2E-3
Q9UBP0	Q9UKV0	2E-2
O14561	Q9Y3C1	1E-2
P09769	Q02223	1.4E-2
P24723	Q02223	1.6E-2
Q9Y238	Q8TEQ0	6.9E-3
P80192	Q8TAP4	1.2E-2
O43490	Q8TAP4	9.1E-3
Q92782	Q8TAP4	1.3E-2
O43909	Q8TAP4	1.1E-2
P15309	Q8TAP4	9E-3
P50993	Q8TAP4	8.9E-3
Q13642	Q8TAP4	1.1E-2
Q9NQL2	Q8TAP4	1.2E-2
Q13183	P43080	1.3E-2
P23759	P43080	5.5E-3
O94887	Q5THJ4	1.6E-2
P31629	Q5THJ4	9.7E-3
P51797	Q5THJ4	5.5E-3
P31629	O95319	1.1E-2
P49759	O95319	1.3E-2
Q9UQC2	O95319	1.1E-2
O75962	O95319	1.6E-2
Q9Y4D7	Q9NZB2	6.1E-3
P49184	Q9NZB2	1.5E-2
Q68CQ7	Q9NZB2	1.2E-2
Q92636	Q9NZB2	1.1E-2
P13611	Q9NZB2	1.2E-2
P11021	Q9NZB2	1.4E-2
P50993	Q15032	1E-2
Q92887	Q15032	1.8E-2
Q9NQL2	Q15032	1.8E-2
Q76N89	Q14055	1.5E-2
P42285	Q13216	1.9E-2
Q9H6S0	Q13216	9.7E-3
P30876	Q13216	9.1E-3
Q5TAA0	O95479	4.5E-3
Q9Y238	O95479	2.6E-3
P42768	O95479	8.9E-3
Q8IVD9	O95479	5E-3
Q9UBP6	O95479	8.8E-3
O60303	O95479	8.2E-3
P26006	Q15836	1.1E-2
O76009	Q15836	8.2E-3
Q9Y2E5	Q15836	1.4E-2
Q8IWP9	Q15836	1.1E-2
O94812	Q07011	2.8E-2
Q9Y4D7	Q14766	7.6E-3
P21731	Q14766	1.4E-2
Q9GZV5	Q14766	6.7E-3
P18206	Q14766	1.4E-2
Q5TAA0	P15502	1E-2
Q9Y6F1	P15502	1.5E-2
O00522	P35250	1.7E-2
P52435	P35250	2.5E-2
O60359	P35250	1.9E-2
P51854	Q96PU5	2E-2
Q9NSD5	Q96PU5	1.4E-2
Q9Y4D7	P07686	4.4E-3
O75563	P07686	6.6E-3
P13473	P07686	7.7E-3
Q9NY15	P07686	6.7E-3
Q30201	P07686	1.1E-2
Q14764	P07686	5.2E-3
P49184	P07686	1.2E-2
Q9GZV5	P07686	4.2E-3
P08670	P07686	1.1E-2
P21757	P07686	1E-2
P11021	P07686	8.6E-3
Q9NZB2	P07686	7E-3
P23759	Q9UBP4	4.2E-3
Q9UBG0	Q9UBP4	1.2E-2
P00450	Q12774	1.9E-2
P20701	Q9Y4A8	1E-2
Q13761	Q9Y4A8	1.2E-2
P42679	Q6P1Q0	1.5E-2
Q9NYQ7	Q6P1Q0	1.7E-2
Q76N32	Q6P1Q0	1.3E-2
Q9UKV0	Q6P1Q0	1.3E-2
P52756	Q2Y0W8	1.8E-2
Q92481	Q2Y0W8	1.2E-2
Q9P1Z2	Q2Y0W8	1.6E-2
P49759	Q2Y0W8	1.2E-2
Q7Z3T8	Q2Y0W8	1.3E-2
Q9UMQ3	Q2Y0W8	1.2E-2
Q9H6S0	Q2Y0W8	8.9E-3
P23759	P43115	5.7E-3
Q9NP31	P43115	9.4E-3
O75604	P43115	1.3E-2
Q9UBS8	P45984	1E-2
O00194	P45984	1.7E-2
Q9UI12	P45984	1.8E-2
P08603	Q15011	1.2E-2
P13473	Q15011	1.4E-2
Q9UKQ2	Q15011	2.2E-2
P14209	Q9NSC5	4.5E-3
Q9Y4D7	Q9NSC5	6.1E-3
Q99594	Q9NSC5	1.2E-2
O14756	Q9NSC5	1.3E-2
Q14181	Q06609	1.9E-2
P17600	P42338	1.3E-2
Q9Y238	P42338	5.7E-3
P24001	P13498	1.4E-2
O43914	P13498	8.6E-3
P09917	P13498	1.6E-2
Q13133	P13498	1.7E-2
P19971	P13498	1.2E-2
P28799	P13498	1.2E-2
O60931	P13498	1.1E-2
P40121	P13498	1.4E-2
P35030	Q9Y5Z4	1.9E-2
Q8IY17	Q9Y5Z4	1.5E-2
Q15021	Q99550	1.4E-2
Q14002	Q16651	1.6E-2
O00187	Q16651	1.5E-2
Q9NSD5	Q16651	1.2E-2
Q8WTS1	Q16651	1.5E-2
Q9UNK9	Q16651	1.1E-2
O00116	Q9BRV8	9.2E-3
P30520	Q9BRV8	1.8E-2
O14561	Q5JTH9	9E-3
Q9Y3C1	Q5JTH9	1.1E-2
P26006	Q15800	1.2E-2
Q15785	Q15800	1.7E-2
P08514	Q6MZW2	1.2E-2
Q99558	Q6MZW2	9E-3
P14867	Q6MZW2	8.2E-3
Q9BVI0	Q6MZW2	9.6E-3
O94993	Q6MZW2	1.1E-2
Q16661	Q6MZW2	7.8E-3
O75665	Q6MZW2	1.1E-2
O60341	O43488	9.9E-3
Q9UKZ4	Q16517	1.8E-2
A8K7I4	Q16517	1.5E-2
P07358	Q16787	9.1E-3
Q9UGP8	Q16787	1.2E-2
O95479	P51787	8.4E-3
Q9Y6D9	O43617	5.1E-3
Q16654	O43617	1.3E-2
Q9UBB6	O43617	1.5E-2
Q5TAA0	Q9Y5L3	8.2E-3
P23759	Q9Y5L3	4.1E-3
O95479	Q9Y5L3	5.6E-3
P28907	Q4LE39	2.2E-2
P48546	Q4LE39	3E-2
P30988	Q16849	9.6E-3
P26006	Q16849	8.3E-3
O94812	Q16849	9.7E-3
P35030	Q16849	8.2E-3
P51797	Q16849	3.8E-3
Q9UBB6	Q16849	1.2E-2
P48507	Q16849	8.5E-3
Q07011	Q16849	9.9E-3
Q15800	Q16849	8.7E-3
P51797	O60333	4.9E-3
P28331	O60333	1E-2
Q15276	O60333	8.7E-3
O75962	O60333	1.4E-2
Q9Y2I8	O60333	8.6E-3
P50549	Q12948	1.9E-2
O75563	Q8WUA7	1.2E-2
Q9NY15	Q8WUA7	1.2E-2
Q14764	Q8WUA7	1E-2
P30740	Q8WUA7	1.1E-2
P07686	Q8WUA7	9E-3
O60341	Q8WXH0	1.2E-2
Q96IC2	Q8WXH0	1.6E-2
Q92793	Q8WXH0	1.3E-2
Q8N7H5	Q8WXH0	1.2E-2
Q9H6Z4	Q8WXH0	1.5E-2
O95153	O75110	9.6E-3
O60271	O75110	7.3E-3
P51797	O75110	4.4E-3
Q9UKA4	O75110	6.7E-3
Q9Y2I8	O75110	8.2E-3
O60333	O75110	8.3E-3
P80192	Q92567	1.6E-2
