Gene_A	Gene_B	Weight
Q9NSG2	P23511	1.8E-2
Q9Y6X5	Q9P2G1	1.1E-2
Q9BTY2	P28838	1.5E-2
Q9Y6D9	Q9Y5W9	2.2E-2
O60762	P20645	4.6E-3
P08603	P10646	2.1E-2
Q96HP8	P10646	1.5E-2
Q9H9R9	Q02790	1.4E-2
O14561	P53701	1E-2
P28838	O75563	2.1E-2
P46063	Q9NWR8	1.7E-2
Q9P2N7	P31270	1.2E-2
O60341	P49916	1.1E-2
O60762	Q9H6T3	6.8E-3
O60341	Q96IC2	6.8E-3
O75800	Q96IC2	1E-2
Q96IC2	Q6FI81	1.1E-2
Q9H2S6	P31323	1.1E-2
P02730	P05164	7.1E-3
Q5TH74	Q9H977	1.5E-2
P52756	Q8IZD2	9.3E-3
Q6P499	P57073	6.3E-3
Q9P2G1	P57073	6.9E-3
Q96JG6	O75592	1.5E-2
Q9NWR8	P20701	4.7E-3
Q8N5Y2	P20701	7.9E-3
Q9Y6X5	P13473	9.1E-3
P57073	P13473	4.9E-3
Q9Y6X5	Q9NZC3	7.5E-3
Q92934	Q96EN9	1.1E-2
Q9Y6D9	Q96EN9	1.1E-2
Q9Y5W9	Q96EN9	1.1E-2
P57073	Q9Y2Y6	2.6E-3
O75800	Q9Y2T7	8.3E-3
Q96IC2	Q9Y2T7	4.7E-3
Q9NWR8	Q99558	1.4E-2
P20701	Q99558	5.3E-3
O95153	O60359	6.5E-3
O75592	O60359	6.9E-3
O60359	P78423	8.1E-3
Q9Y2T7	Q8TB22	6.4E-3
Q9H9R9	O43497	1.5E-2
Q9H9R9	P80192	1.8E-2
P09769	Q6ZMT4	1.1E-2
P30260	Q6ZMT4	2E-2
Q96Q42	P50549	1.5E-2
O76009	O94887	1.2E-2
P57073	Q9Y6N9	4.6E-3
P05141	O75223	1.6E-2
Q9UKG9	O75223	1.8E-2
Q9NSG2	Q9UBU7	6.7E-3
P23511	Q9UBU7	8.2E-3
Q96IC2	Q9UBU7	4.6E-3
Q6ZMT4	O00458	1.8E-2
Q9Y4W2	Q8N7H5	1.3E-2
Q9Y2S7	Q9BQ52	1E-2
Q53FZ2	P51689	2.1E-2
P52435	P41247	1.7E-2
Q9BZF2	Q9UKX3	1E-2
Q9BQ52	Q9UKX3	7E-3
P57073	Q86V24	2.3E-3
P13473	Q86V24	1E-2
Q9Y2Y6	Q86V24	5.3E-3
P02730	Q3KPI0	1.3E-2
Q9NR63	P35228	1.7E-2
P20645	Q14667	1.6E-2
P19801	Q13183	8.9E-3
Q9Y5W9	O75865	1.6E-2
O60359	P42679	4.2E-3
Q8N3S3	P35499	1.4E-2
Q96Q42	P26367	1.1E-2
P50549	P26367	8.8E-3
Q92934	Q9UJJ7	9.1E-3
P35228	Q9UJJ7	7.4E-3
Q9Y258	Q96CC6	2.5E-2
Q9H977	O94812	9E-3
Q9UJJ7	Q9UJK0	9.8E-3
Q9Y2S7	Q9NVH1	1.1E-2
P27169	P31513	4.1E-3
P21439	P31513	7.1E-3
P02730	Q14209	1.2E-2
Q76N89	P17600	9.6E-3
P80192	P17600	9.1E-3
O60359	Q96NX5	4.3E-3
P17600	Q96NX5	4E-3
Q13183	Q92481	1.6E-2
Q9NYC9	Q9Y238	1.6E-2
Q9UKX3	O43739	9.5E-3
O60762	Q16563	4.5E-3
P14209	Q16563	1.4E-2
P49916	Q16563	1.5E-2
Q9UHR4	P49447	1.8E-2
Q9Y6X5	O60271	1E-2
P57073	O60271	6E-3
Q6SZW1	Q9NYQ7	9.5E-3
Q09428	Q9NYQ7	1.1E-2
Q17R89	Q9NYQ7	1.3E-2
Q9NY47	Q9NYQ7	8.6E-3
Q9P0K1	Q9NYQ7	9.5E-3
Q9UJS0	Q9UDR5	2.3E-2
Q9Y2Y6	Q9UDR5	1.3E-2
O76009	Q3KR16	6.6E-3
Q5TAA0	Q3KR16	1.2E-2
Q92934	Q8N594	2.4E-2
Q9Y2S7	Q8N594	9.6E-3
Q9NVH1	Q8N594	2.1E-2
P02730	O75594	5.8E-3
P05164	O75594	4.9E-3
Q3KPI0	O75594	8.7E-3
Q14209	O75594	8.5E-3
O95544	O75594	8.1E-3
Q9UKX3	Q14938	7.8E-3
Q9UJJ7	Q14938	8.8E-3
Q9NR63	Q13387	7.4E-3
Q02790	Q13387	6.8E-3
P80192	Q13387	9.8E-3
P17600	Q13387	3.2E-3
Q9P0K1	Q13387	8.8E-3
O60359	Q9BYZ6	7.1E-3
Q96NX5	Q9BYZ6	9.2E-3
P20645	Q9P2D3	2.3E-2
Q9P2N7	O60673	1.2E-2
P31270	O60673	9.5E-3
P50549	Q9UKZ4	1.5E-2
P26367	Q9UKZ4	1.1E-2
P27169	O00187	9.2E-3
Q8N5Y2	Q9Y228	1.1E-2
P20701	Q9Y228	3.1E-3
Q99558	Q9Y228	7.6E-3
Q8IVW4	Q9UKY4	2.3E-2
P27169	Q9NP71	7E-3
P31513	Q9NP71	5.2E-3
P10620	Q9NP71	1.2E-2
Q96IC2	Q9NR20	5.8E-3
Q9Y2S7	P31930	5.8E-3
O14561	P31930	4.7E-3
P53701	P31930	1.1E-2
Q15119	P31930	8.9E-3
Q12887	P31930	1.1E-2
Q9NVH1	P31930	8.1E-3
Q99442	O95772	1.3E-2
Q9H2S6	Q9NS98	1.1E-2
P31323	Q9NS98	1.2E-2
Q9H977	Q9Y2I1	1.1E-2
O94812	Q9Y2I1	1.1E-2
P19801	Q9NSD5	1E-2
O95045	Q9NSD5	1.7E-2
O95153	P22304	2E-2
O60359	P22304	1E-2
Q9UBU7	P98182	6.7E-3
Q9NYC9	Q53EV4	1.5E-2
Q9Y238	Q53EV4	1.1E-2
Q9BT04	Q53EV4	9.3E-3
O75563	Q06187	6E-3
Q8N5Y2	Q06187	9.6E-3
P20701	Q06187	2.6E-3
Q9Y228	Q06187	3.6E-3
Q99594	Q96GD3	6.3E-3
O95772	P06241	9.5E-3
Q0D2I5	P06241	2.6E-2
O60359	P31629	9.2E-3
P19801	Q01740	5.4E-3
Q13183	Q01740	6.8E-3
Q9NSD5	Q01740	7.7E-3
O95772	P51797	4.8E-3
Q99594	Q9UBG0	5.9E-3
O14792	Q99884	9.9E-3
Q9NR63	Q99884	1.3E-2
P35228	Q99884	1.2E-2
O43739	Q99884	1.6E-2
Q9UBG0	O75954	1.5E-2
O14641	O96018	1.4E-2
O75865	O96018	1.1E-2
P98182	Q9Y5J1	1.9E-2
Q9NR20	Q9NWF9	1.2E-2
P42679	Q92782	4.7E-3
O76039	Q92782	8.2E-3
Q9BYZ6	Q92782	6.7E-3
Q92782	O43581	8.1E-3
P09769	Q03405	1.3E-2
P43353	Q03405	2.6E-2
Q9Y6X5	Q9NQW6	2.2E-3
Q9P2G1	Q9NQW6	7.3E-3
P57073	Q9NQW6	1.3E-3
P13473	Q9NQW6	5.6E-3
Q9Y2Y6	Q9NQW6	2.8E-3
Q86V24	Q9NQW6	2.5E-3
O60271	Q9NQW6	6.9E-3
Q8N7H5	Q9Y3P9	1.1E-2
P43351	Q9NXS2	2.2E-2
Q92793	Q9NXS2	2.1E-2
P17600	P53041	8.4E-3
Q13387	P53041	9.6E-3
O60673	Q76N32	1.4E-2
O60762	Q8IVH8	2.3E-3
O00522	Q8IVH8	9.8E-3
P16383	Q8IVH8	8E-3
Q8TAV0	Q8IVH8	7.1E-3
Q9BT04	Q9Y2Y4	6.8E-3
Q9NWF9	Q9Y2Y4	9.3E-3
P09769	O43914	8.9E-3
Q99594	Q96B96	5.3E-3
O75954	Q96B96	1.2E-2
Q86VW1	P38398	1.5E-2
Q15021	P38398	2.4E-2
P20701	P20273	4.9E-3
Q06187	P20273	7.1E-3
P43351	Q13214	6.1E-3
Q92793	Q13214	6E-3
Q9UJJ7	Q13214	2.8E-3
O43739	Q13214	7.8E-3
P26599	Q13214	7.6E-3
Q9NXS2	Q13214	6.6E-3
O75448	O43462	1.8E-2
Q9BQ52	O43900	6.4E-3
Q96CC6	O43900	8E-3
Q3KR16	O43900	3.2E-3
Q30201	O43900	8.7E-3
Q14241	O43900	7.1E-3
P05164	P02788	6.9E-3
P43353	P02788	1.9E-2
O43490	P02788	1.2E-2
O75594	P02788	5.6E-3
Q96L34	O43909	1.7E-2
Q92782	O43909	8.7E-3
P27169	Q96RI1	1.1E-2
P31513	Q96RI1	8.1E-3
Q9NP71	Q96RI1	1.6E-2
O43914	Q9NYP7	1.3E-2
P09769	P09917	1.4E-2
O43914	P09917	1.6E-2
Q96GD3	Q9P1Z2	1.8E-2
Q9H6R0	Q8N806	1.2E-2
Q9NZC3	Q8N806	1.2E-2
P49754	Q8N806	1.2E-2
Q9UHA2	Q8N806	1E-2
Q9Y6X5	Q9Y4K4	3.6E-3
O60271	Q9Y4K4	1.3E-2
Q9NQW6	Q9Y4K4	2.4E-3
Q9H9R9	Q9NZN3	1.6E-2
P17600	Q9NZN3	7E-3
Q14847	Q9Y2E5	2.6E-2
P57073	O75508	6.9E-3
Q9NQW6	O75508	6.9E-3
P02730	Q9BZJ4	7.9E-3
P05164	Q9BZJ4	6.6E-3
O95544	Q9BZJ4	1.4E-2
O75594	Q9BZJ4	5.4E-3
Q15021	Q9BZJ4	1.3E-2
P26006	Q14764	1.1E-2
Q9BY66	Q14764	1.1E-2
P52756	P49759	9.2E-3
Q8IZD2	P49759	4E-3
Q9UDR5	P49759	8.6E-3
Q9UJS0	Q9NW08	1.9E-2
P57073	Q9UNK9	4.9E-3
O95772	Q9UBS8	1.1E-2
P52435	P49184	9.2E-3
P35499	P49184	6.9E-3
P24001	P49184	1.3E-2
Q96B96	P49184	6.7E-3
Q9BTY2	Q9NRV9	1.3E-2
Q9Y2E5	Q9NRV9	1.9E-2
P26006	Q8NFJ5	1.7E-2
Q6NTF9	Q13495	1E-2
Q86VW1	Q9Y6A5	6.5E-3
Q6ZMT4	Q9Y6A5	9E-3
Q9UBU7	Q9Y6A5	3.6E-3
Q92833	Q9Y6A5	8.2E-3
Q15021	Q9Y6A5	1E-2
P38398	Q9Y6A5	1E-2
Q9Y4K4	O94874	9.9E-3
P49759	O94874	8.7E-3
Q9UJJ7	Q8IXZ2	1E-2
O43900	Q8IXZ2	8.6E-3
O95394	P15309	1.2E-2
O14561	P40925	5.6E-3
Q9NP79	P40925	1.1E-2
Q6DKK2	Q6PML9	1.2E-2
Q99594	A4FU01	5.9E-3
P20701	Q9P219	7E-3
Q9Y228	Q9P219	9.7E-3
O14561	Q8IY57	1.1E-2
P40925	Q8IY57	1.3E-2
P01730	P42768	1.9E-2
Q06187	P42768	5.9E-3
P19801	P16444	1E-2
Q13183	P16444	1.2E-2
Q9NSD5	P16444	1.3E-2
Q01740	P16444	6.8E-3
P57073	Q9H169	3E-3
Q92782	Q8IVD9	1E-2
Q9Y5S8	A8K7I4	2.4E-2
Q14002	Q14CN2	2E-2
O95772	P98194	1.3E-2
O60673	P05019	1.2E-2
Q7L5A3	Q8WUX1	3.1E-2
Q68CQ7	Q7L099	1.3E-2
P14209	Q9GZV5	2E-2
Q99594	Q9GZV5	1.1E-2
Q96EN9	Q9H5V9	1.5E-2
P23352	P50993	1.3E-2
P61371	Q96IQ7	1.3E-2
Q92851	Q86UU1	4.3E-3
Q2M3G0	Q86UU1	4.8E-3
P30988	Q86UU1	4.2E-3
O94887	Q86UU1	2.9E-3
Q8TCE9	Q86UU1	2.8E-3
Q9Y5S8	Q86UU1	3.2E-3
O75448	Q86UU1	2.9E-3
P23759	Q86UU1	4.4E-3
Q99884	Q86UU1	2.1E-3
P30203	Q86UU1	3.4E-3
Q14181	Q86UU1	4.5E-3
Q96NG8	Q86UU1	2.4E-3
P19801	Q07973	1.5E-2
Q01740	Q07973	9.9E-3
P16444	Q07973	2E-2
Q99884	Q9NQV5	1.7E-2
Q76N89	Q7L8C5	2.6E-2
P34903	Q7L8C5	1.9E-2
P17010	O43623	1.3E-2
O60673	O43623	8.1E-3
A4FU01	O43623	9.8E-3
P61371	O43623	1E-2
Q8IVH8	Q9UGI0	9.7E-3
P56179	Q9UBB6	1.2E-2
Q96L34	Q9UBB6	9.5E-3
O60673	Q96PE1	6.6E-3
Q9UBG0	Q96PE1	7.3E-3
P07585	Q96PE1	1.2E-2
P05019	Q96PE1	8.2E-3
Q9HCP6	Q9UPU9	1.8E-2
P20701	Q13761	8.1E-3
Q9Y228	Q13761	1.1E-2
Q06187	Q13761	9.5E-3
P78332	P49959	2.6E-2
P57073	Q9UF11	4.6E-3
Q9H169	Q9UF11	1.4E-2
Q9GZN4	P30740	1.7E-2
Q14CN2	P30740	1.3E-2
O00187	Q9HB55	1.7E-2
P19801	P82251	5.4E-3
O95045	P82251	8E-3
Q13183	P82251	7E-3
Q9NSD5	P82251	7.6E-3
Q01740	P82251	4.1E-3
P16444	P82251	7.2E-3
Q8NE62	P82251	9.7E-3
Q07973	P82251	9.8E-3
Q9Y6X5	Q9UBP0	6.5E-3
Q9NQW6	Q9UBP0	4E-3
P26367	Q9Y4C0	5.8E-3
Q9NY47	Q9Y4C0	1E-2
Q9UBG0	Q9H0X9	1.8E-2
Q8IZD2	O60306	1E-2
P31513	P31327	4.3E-3
P27169	P07358	4.4E-3
P31513	P07358	3.2E-3
O00187	P07358	7.4E-3
Q9HB55	P07358	5.8E-3
P31327	P07358	4.6E-3
O14558	Q13642	1.6E-2
O75534	Q13642	1.2E-2
P31629	P14867	1.5E-2
P55957	P14867	1.4E-2
Q9H977	Q5BKX6	1.6E-2
Q9Y2S7	Q8N5U6	1.2E-2
O00458	Q8N5U6	2.3E-2
Q9BZJ4	Q8N5U6	1.3E-2
P49184	Q8N5U6	1.1E-2
Q9Y2Y4	A8K0R7	1E-2
Q8IZE3	Q9H6R6	1.6E-2
Q14847	Q9H6R6	1.3E-2
P54819	Q9H6R6	1.3E-2
O14628	Q9H6R6	9.8E-3
Q9Y4C0	Q3KR37	8.4E-3
O43900	P13489	7.7E-3
O14561	P28331	1.1E-2
P31930	P28331	8.9E-3
P40925	P28331	1.2E-2
Q8N806	Q8TDY2	6E-3
Q9UGI0	Q8TDY2	1.3E-2
Q9Y574	P13196	1.2E-2
P14210	P13196	1E-2
P20701	Q13489	5.2E-3
Q9UHA2	Q9UKA4	2.5E-2
Q8N806	Q9UKA4	1.2E-2
Q7L592	Q16533	1.5E-2
Q8N7H5	Q16533	7.1E-3
Q16526	Q16533	1.2E-2
Q9NR20	Q16533	6.6E-3
Q9NW08	Q16533	9.7E-3
P28838	Q9Y315	1.4E-2
P54819	Q9Y315	1.6E-2
Q9H6R6	Q9Y315	8.4E-3
Q8IVH8	Q9Y3F4	9.3E-3
P52569	Q92887	1.3E-2
P27169	Q92887	5.8E-3
Q9NP71	Q92887	8.2E-3
Q9UHC9	Q92887	1.3E-2
Q9HB55	Q92887	9.7E-3
P20701	Q9H4E7	4.7E-3
Q99558	Q9H4E7	1.4E-2
Q9Y228	Q9H4E7	6.5E-3
Q9UBU7	Q53GL0	6.7E-3
Q9NR20	Q53GL0	9.6E-3
Q9NWF9	Q53GL0	3.4E-2
P48506	P48507	2.5E-2
Q6ZMT4	P48507	1.8E-2
Q9H2S6	Q9NZN4	6.9E-3
Q9Y4D7	Q9NZN4	9.4E-3
Q9P299	Q9NZN4	1.1E-2
Q96CC6	Q9NZN4	1E-2
Q9P1Z2	Q9NZN4	1E-2
O95394	Q5TB30	1.8E-2
P15309	Q5TB30	1.3E-2
Q96JG6	Q8IWP9	1.4E-2
Q6DKK2	Q8IWP9	9.8E-3
Q6PML9	Q8IWP9	1.7E-2
Q8TAV0	Q03933	2E-2
Q8IVH8	Q03933	7.2E-3
Q9UGI0	Q03933	2.5E-2
Q53GL0	Q9BVI0	2.4E-2
P21439	O14756	1.7E-2
P31513	O14756	7.2E-3
P31327	O14756	1E-2
P07358	O14756	7.6E-3
Q96HP8	Q13133	1.3E-2
Q9Y4D7	Q13133	1.9E-2
P10620	Q13133	1.6E-2
Q13489	P19971	1.6E-2
Q9UJJ7	Q6IBW4	9.1E-3
Q9H977	Q15785	1.3E-2
Q8N6R0	Q15785	1.7E-2
Q68CQ7	Q9UGP8	1.2E-2
Q8IWP9	Q9UGP8	1.8E-2
Q9Y4D7	P08670	1.2E-2
Q96PE1	P08670	6E-3
O43623	P25445	1.5E-2
P20701	O00584	6E-3
Q9Y228	O00584	8.8E-3
Q06187	O00584	8.8E-3
P20273	O00584	2E-2
P42679	Q9UIX4	1.1E-2
Q92782	Q9UIX4	8E-3
Q9Y6X5	Q9NRZ5	2.5E-3
Q9Y6N9	Q9NRZ5	6.5E-3
Q86V24	Q9NRZ5	3E-3
Q9HCP6	Q9NRZ5	4.9E-3
Q9NQW6	Q9NRZ5	1.7E-3
Q9Y4K4	Q9NRZ5	2.9E-3
Q9BY42	Q9NRZ5	7.2E-3
P20701	Q9NQ25	6.1E-3
Q13489	Q9NQ25	1.7E-2
P20701	O00481	3.7E-3
Q99558	P24723	1.8E-2
O43900	P24723	8.3E-3
P43351	P14616	6.7E-3
P08514	P14616	9.6E-3
Q9BZF2	P14616	8.7E-3
P21731	P14616	9.2E-3
Q9UKX3	P14616	2.9E-3
Q9Y603	P14616	8.7E-3
Q9NQV5	P14616	8.8E-3
Q6IBW4	P14616	6.8E-3
P28838	P15260	2.1E-2
Q8WTS1	P15260	2.3E-2
Q9NYP7	P15260	2.2E-2
P49759	P15260	8.8E-3
Q8N7H5	Q9UBV7	1.3E-2
P20701	Q9NP31	3.7E-3
Q06187	Q9NP31	4.9E-3
P30203	Q9NP31	1.7E-2
P42768	Q9NP31	1.2E-2
Q13489	Q9NP31	1E-2
Q16563	Q86Y07	1.1E-2
P49759	Q86Y07	5.9E-3
O94874	Q86Y07	1.6E-2
P15260	Q86Y07	1.2E-2
Q14847	P20333	8.7E-3
P20701	P20333	2.9E-3
Q0D2I5	P20333	7.5E-3
Q9NY15	P20333	8.7E-3
Q9NYP7	P20333	7.9E-3
Q9Y5A7	P20333	9.7E-3
P19971	P20333	9.3E-3
O00481	P20333	5.4E-3
Q8IVH8	Q9HBM0	1.1E-2
P20701	P09086	6.6E-3
P40259	P09086	2.8E-2
Q9Y228	P09086	9.3E-3
Q06187	P09086	8.4E-3
Q9H977	Q9H8M2	1.1E-2
Q86V24	Q13596	1E-2
Q9NQW6	Q13596	5.1E-3
Q86Y07	Q13596	1.5E-2
O60341	P62380	6.4E-3
Q6FI81	P62380	1.1E-2
Q9Y2T7	P62380	4.2E-3
P63010	P62380	9.7E-3
Q9Y5J1	P62380	1.1E-2
Q9NS18	P62380	7.7E-3
Q96S59	Q8WYA1	1.7E-2
Q8IZD2	Q9NYF8	1.1E-2
O75594	P21815	8.1E-3
Q9Y6X5	Q15276	9.9E-3
Q9H9R9	O15347	1.4E-2
P48507	O15347	2.7E-2
Q99558	Q16611	1.8E-2
P43243	Q16611	2.8E-2
Q9H4E7	Q16611	1.4E-2
Q5TAA0	Q9UKS7	2.7E-2
Q3KR16	Q9UKS7	9.7E-3
P21926	P28799	9.9E-3
P07384	P28799	1.2E-2
P30740	P28799	8.5E-3
P13489	P28799	8.6E-3
P24723	P28799	8.7E-3
Q96JG6	Q9NYF5	8E-3
Q9UKT7	Q9NYF5	9.4E-3
O95772	Q9NYF5	5E-3
Q0D2I5	Q9NYF5	1E-2
Q9UBS8	Q9NYF5	1.1E-2
Q9UKA4	Q9NYF5	1.1E-2
Q8IWP9	Q9NYF5	7E-3
P08670	Q2M1Z3	1.2E-2
P48506	Q7L2Z9	1E-2
Q9Y6X5	Q7L2Z9	4.9E-3
Q9NQW6	Q7L2Z9	3.3E-3
Q9Y4K4	Q7L2Z9	6E-3
O00116	Q7L2Z9	1.5E-2
Q9UBP0	Q7L2Z9	9.9E-3
P15260	Q7L2Z9	1.2E-2
Q13596	Q7L2Z9	1.7E-2
P51797	P49591	1.2E-2
Q8N7H5	Q9H6Z4	1.2E-2
Q9BT04	Q9H6Z4	1.7E-2
Q96JG6	P29374	8E-3
Q9UKT7	P29374	1E-2
P06241	P29374	1E-2
Q8N806	P29374	5.1E-3
O60306	P29374	1.1E-2
Q8TDY2	P29374	5.8E-3
Q9UKA4	P29374	1.1E-2
Q9NYF5	P29374	5E-3
Q6NTF9	Q53HC9	1.1E-2
Q6PML9	Q53HC9	1.7E-2
Q9Y4W2	Q8IY17	9.8E-3
Q92934	Q8IY17	9.9E-3
Q9Y6D9	Q8IY17	8.2E-3
Q9Y5W9	Q8IY17	1.1E-2
Q96EN9	Q8IY17	5.4E-3
Q9UKY4	Q8IY17	9.4E-3
Q9NR20	Q13099	5.9E-3
Q9NW08	Q13099	7E-3
Q16533	Q13099	5.5E-3
Q9UBV7	Q9BT22	2.4E-2
O43670	Q6NZY4	2.3E-2
Q8IWV8	Q6NZY4	2.3E-2
P49447	Q9P2E5	1.9E-2
O60359	ENSG00000033122	9.1E-3
Q9Y6X5	Q9BYC5	7.8E-3
Q9NQW6	Q9BYC5	4.7E-3
Q9Y4K4	A0AVT1	1E-2
Q9UBP0	A0AVT1	1.4E-2
Q86Y07	A0AVT1	1.5E-2
Q7L2Z9	A0AVT1	1.5E-2
Q9P2G1	Q9UQC2	9.5E-3
P57073	Q9UQC2	1.7E-3
Q9Y2Y6	Q9UQC2	3.6E-3
Q86V24	Q9UQC2	3.1E-3
O60271	Q9UQC2	8.5E-3
Q9NQW6	Q9UQC2	1.8E-3
Q9Y4K4	Q9UQC2	3E-3
O75508	Q9UQC2	8.9E-3
P17600	Q93050	4.9E-3
Q13387	Q93050	5.2E-3
Q8IZD2	O75925	6.9E-3
Q76N32	O75925	1.7E-2
O60306	O75925	2E-2
Q9HBM0	O75925	1.7E-2
Q9NYF8	O75925	2E-2
Q9NYF5	O75925	7.6E-3
Q9H6T3	Q9Y6M7	3.3E-2
P34903	Q99767	9.4E-3
Q9NYC9	Q9HAE3	2.3E-2
Q9Y238	Q9HAE3	1.6E-2
Q53EV4	Q9HAE3	1.4E-2
Q14847	P63313	2.8E-2
P08670	P63313	1.4E-2
Q8WVM0	Q2TB18	1.9E-2
P20645	Q9NV58	2E-2
Q9NWR8	Q9NV58	1.5E-2
Q8IVH8	P56589	8.1E-3
Q9NZC3	P60520	8.4E-3
Q99442	P60520	9.1E-3
O95772	P60520	4.2E-3
Q12860	P60520	9.3E-3
Q13183	Q96HL8	1.6E-2
Q99594	P18206	5E-3
Q96PE1	P18206	5.2E-3
Q9NSG2	Q8WUY9	1.2E-2
Q86VW1	Q8WUY9	1.3E-2
P30260	Q8WUY9	1.5E-2
Q9UBU7	Q8WUY9	5.9E-3
Q9Y6A5	Q8WUY9	8.2E-3
Q9HCP6	Q9UIK4	1.5E-2
Q15021	P30520	2.1E-2
Q9BZJ4	P30520	1.1E-2
Q8WUY9	P30520	1.5E-2
P20701	Q9ULZ2	4E-3
P40259	Q9ULZ2	1.3E-2
Q9Y228	Q9ULZ2	5.5E-3
Q06187	Q9ULZ2	5.1E-3
P20273	Q9ULZ2	1.2E-2
P09086	Q9ULZ2	1.4E-2
P14209	P16035	1.5E-2
Q9Y4D7	P16035	1.8E-2
Q96PE1	P16035	7.1E-3
P08670	P16035	1.1E-2
P49759	P35251	8.4E-3
Q9NRV9	P35251	1.6E-2
Q86Y07	P35251	1.3E-2
O60762	Q9NUY8	3.6E-3
P16383	Q9NUY8	1.2E-2
Q9UKT7	Q9NUY8	1.2E-2
Q8IVH8	Q9NUY8	5.5E-3
Q9UGP8	Q9NUY8	1.3E-2
O60341	Q13618	1.3E-2
Q8TDY2	Q13618	1.3E-2
Q03933	Q13618	2.4E-2
P62380	Q13618	8.9E-3
Q16654	P54296	1.2E-2
Q12887	P54296	1.3E-2
Q9UIK4	P54296	9.5E-3
P21439	P00480	8.7E-3
P31513	P00480	3.6E-3
O00187	P00480	8.4E-3
Q9HB55	P00480	6.3E-3
P31327	P00480	5.3E-3
P07358	P00480	3.9E-3
P20366	Q9Y6A2	6.9E-3
P78423	Q9Y6A2	7.8E-3
P56179	Q9Y6A2	7.8E-3
Q96L34	Q9Y6A2	5.9E-3
Q9BYZ6	Q9Y6A2	7.8E-3
Q9UBB6	Q9Y6A2	5.9E-3
P49759	Q8IYH5	9.3E-3
A0AVT1	Q8IYH5	2E-2
P35251	Q8IYH5	2.3E-2
Q9Y2Y4	O75604	1.1E-2
Q93050	Q9NRH3	4.6E-3
Q99767	Q9NRH3	4.1E-3
Q7L592	Q9UNX3	1.3E-2
O60341	Q9UNX3	8E-3
Q6FI81	Q9UNX3	1.6E-2
Q9UBU7	Q9UNX3	4.4E-3
O60762	Q08J23	4.9E-3
O43670	Q08J23	2.1E-2
Q86Y07	Q08J23	1E-2
Q9H6R6	Q9BV20	1.5E-2
O95372	Q9UBP6	2.1E-2
Q9BQ52	P31273	2.4E-2
Q9UKX3	P31273	8.2E-3
P14616	P31273	7.2E-3
Q16563	P20933	1.8E-2
Q86Y07	P20933	1.2E-2
P35251	P20933	2.1E-2
Q8TDY2	Q8NFC6	1.2E-2
Q9NYF5	Q8NFC6	1.2E-2
P29374	Q8NFC6	1.3E-2
Q9Y4W2	Q6P2E9	7.5E-3
Q9Y6D9	Q6P2E9	7.4E-3
Q8TCT7	Q6P2E9	7.7E-3
Q9H977	Q6P2E9	4.7E-3
Q96EN9	Q6P2E9	4.3E-3
Q8N7H5	Q6P2E9	4.6E-3
Q9Y2I1	Q6P2E9	5.4E-3
Q9ULX6	Q6P2E9	7.2E-3
Q9UBV7	Q6P2E9	7.4E-3
Q9H8M2	Q6P2E9	7E-3
Q9H6Z4	Q6P2E9	7.4E-3
Q9BTY2	P13611	1.3E-2
P48506	P13611	2E-2
P05019	P13611	1.8E-2
P49279	P21757	3.4E-2
Q9UKG9	P12830	2.1E-2
Q9UHR4	P12830	1.6E-2
O60762	P42285	6.6E-3
Q9NYC9	Q8TE73	1.9E-2
Q9Y238	Q8TE73	1.5E-2
Q53EV4	Q8TE73	1.2E-2
P57073	Q7Z3T8	6.4E-3
Q9NQW6	Q7Z3T8	6.9E-3
Q9UQC2	Q7Z3T8	8.7E-3
Q9BYZ6	Q6ZS17	1.8E-2
Q9UBB6	Q6ZS17	1.3E-2
Q96HP8	P13671	1.1E-2
P21439	P13671	1.4E-2
P31513	P13671	5.5E-3
P31327	P13671	8E-3
P07358	P13671	5.7E-3
P00480	P13671	6.8E-3
Q9P2N7	Q9P0K7	1.3E-2
P05019	Q9P0K7	1.4E-2
Q96PE1	Q9P0K7	7.3E-3
P13611	Q9P0K7	1.3E-2
P49447	Q96T60	1.1E-2
Q9Y2I1	Q96T60	8E-3
Q9UBV7	Q96T60	1.4E-2
Q9P2E5	Q96T60	1.2E-2
Q9UBP6	Q96T60	1.1E-2
Q92851	Q8NFU1	2.5E-2
Q9Y5S8	Q8NFU1	2E-2
P30203	Q8NFU1	2E-2
Q86UU1	Q8NFU1	2.9E-3
P40925	Q9NUL3	1.4E-2
Q9Y4C0	Q9BZR6	5.2E-3
Q3KR37	Q9BZR6	8.9E-3
O75223	Q9BUL5	1.5E-2
P43686	Q9BUL5	1.7E-2
Q53H12	Q9Y6N8	1.1E-2
O60861	Q9Y6N8	1E-2
Q9Y4C0	Q9Y6N8	4.5E-3
P14867	Q9Y6N8	6.2E-3
Q9BZR6	Q9Y6N8	5.2E-3
Q96S59	O00194	2.4E-2
Q8WYA1	O00194	1.7E-2
O60762	P25789	4.1E-3
Q7L592	P25789	1.7E-2
Q16533	P25789	9.3E-3
Q9UNX3	P25789	1E-2
P17600	Q9Y6X6	9.5E-3
Q13387	Q9Y6X6	9.3E-3
Q9BY66	Q9H089	3E-2
P25789	Q9H089	1.7E-2
Q14764	Q9Y6F1	1.4E-2
O75462	P24821	2E-2
Q9NP84	P24821	1.8E-2
P18206	P24821	1E-2
Q9Y2Y4	Q9NUW8	1E-2
